epsilon, alpha, beta, initpop1, initpop2, dif1, dif2, difratio, winner, time
.01, 1.1822162151336668, 1, 159.11081075668335, 100, 13.0, 10.0, 1.3, 1, 87
.01, 1.1822160482406616, 1, 159.11080241203308, 100, 13.0, 10.0, 1.3, 1, 91
.01, 1.182215964794159, 1, 159.11079823970795, 100, 13.0, 10.0, 1.3, 1, 95
.01, 1.1822159230709075, 1, 159.11079615354538, 100, 13.0, 10.0, 1.3, 1, 100
.01, 1.1822159022092817, 1, 159.1107951104641, 100, 13.0, 10.0, 1.3, 3, 100
.01, 1.2, 1, 160.0, 100, 14.0, 10.0, 1.3999999999999999, 1, 20
.01, 0.85, 1, 142.5, 100, 14.0, 10.0, 1.3999999999999999, 2, 2
.01, 1.025, 1, 151.25, 100, 14.0, 10.0, 1.3999999999999999, 2, 4
.01, 1.1124999999999998, 1, 155.625, 100, 14.0, 10.0, 1.3999999999999999, 2, 6
.01, 1.15625, 1, 157.8125, 100, 14.0, 10.0, 1.3999999999999999, 2, 11
.01, 1.178125, 1, 158.90625, 100, 14.0, 10.0, 1.3999999999999999, 1, 31
.01, 1.1671875, 1, 158.359375, 100, 14.0, 10.0, 1.3999999999999999, 2, 15
.01, 1.1726562500000002, 1, 158.6328125, 100, 14.0, 10.0, 1.3999999999999999, 2, 30
.01, 1.1753906250000001, 1, 158.76953125000003, 100, 14.0, 10.0, 1.3999999999999999, 1, 36
.01, 1.1740234375000003, 1, 158.701171875, 100, 14.0, 10.0, 1.3999999999999999, 1, 40
.01, 1.1733398437500002, 1, 158.6669921875, 100, 14.0, 10.0, 1.3999999999999999, 1, 46
.01, 1.172998046875, 1, 158.64990234375, 100, 14.0, 10.0, 1.3999999999999999, 1, 69
.01, 1.1728271484375001, 1, 158.64135742187503, 100, 14.0, 10.0, 1.3999999999999999, 2, 33
.01, 1.17291259765625, 1, 158.6456298828125, 100, 14.0, 10.0, 1.3999999999999999, 2, 37
.01, 1.172955322265625, 1, 158.64776611328125, 100, 14.0, 10.0, 1.3999999999999999, 2, 41
.01, 1.1729766845703127, 1, 158.64883422851562, 100, 14.0, 10.0, 1.3999999999999999, 2, 46
.01, 1.1729873657226564, 1, 158.64936828613284, 100, 14.0, 10.0, 1.3999999999999999, 2, 51
.01, 1.1729927062988281, 1, 158.6496353149414, 100, 14.0, 10.0, 1.3999999999999999, 2, 62
.01, 1.172995376586914, 1, 158.6497688293457, 100, 14.0, 10.0, 1.3999999999999999, 1, 74
.01, 1.172994041442871, 1, 158.64970207214355, 100, 14.0, 10.0, 1.3999999999999999, 1, 81
.01, 1.1729933738708496, 1, 158.64966869354248, 100, 14.0, 10.0, 1.3999999999999999, 2, 71
.01, 1.1729937076568602, 1, 158.64968538284302, 100, 14.0, 10.0, 1.3999999999999999, 1, 86
.01, 1.172993540763855, 1, 158.64967703819275, 100, 14.0, 10.0, 1.3999999999999999, 1, 96
.01, 1.1729934573173524, 1, 158.64967286586761, 100, 14.0, 10.0, 1.3999999999999999, 2, 76
.01, 1.1729934990406037, 1, 158.64967495203018, 100, 14.0, 10.0, 1.3999999999999999, 2, 85
.01, 1.1729935199022292, 1, 158.64967599511147, 100, 14.0, 10.0, 1.3999999999999999, 3, 100
.01, 1.2, 1, 160.0, 100, 15.0, 10.0, 1.5, 1, 18
.01, 0.85, 1, 142.5, 100, 15.0, 10.0, 1.5, 2, 2
.01, 1.025, 1, 151.25, 100, 15.0, 10.0, 1.5, 2, 4
.01, 1.1124999999999998, 1, 155.625, 100, 15.0, 10.0, 1.5, 2, 6
.01, 1.15625, 1, 157.8125, 100, 15.0, 10.0, 1.5, 2, 13
.01, 1.178125, 1, 158.90625, 100, 15.0, 10.0, 1.5, 1, 24
.01, 1.1671875, 1, 158.359375, 100, 15.0, 10.0, 1.5, 1, 34
.01, 1.16171875, 1, 158.0859375, 100, 15.0, 10.0, 1.5, 2, 18
.01, 1.164453125, 1, 158.22265625, 100, 15.0, 10.0, 1.5, 2, 29
.01, 1.1658203125000002, 1, 158.291015625, 100, 15.0, 10.0, 1.5, 1, 39
.01, 1.1651367187500001, 1, 158.25683593750003, 100, 15.0, 10.0, 1.5, 1, 44
.01, 1.164794921875, 1, 158.23974609375, 100, 15.0, 10.0, 1.5, 1, 54
.01, 1.1646240234375, 1, 158.231201171875, 100, 15.0, 10.0, 1.5, 2, 34
.01, 1.16470947265625, 1, 158.2354736328125, 100, 15.0, 10.0, 1.5, 2, 41
.01, 1.164752197265625, 1, 158.23760986328125, 100, 15.0, 10.0, 1.5, 1, 63
.01, 1.1647308349609373, 1, 158.23654174804688, 100, 15.0, 10.0, 1.5, 2, 46
.01, 1.1647415161132812, 1, 158.23707580566406, 100, 15.0, 10.0, 1.5, 2, 64
.01, 1.1647468566894532, 1, 158.23734283447266, 100, 15.0, 10.0, 1.5, 1, 66
.01, 1.1647441864013672, 1, 158.23720932006836, 100, 15.0, 10.0, 1.5, 1, 70
.01, 1.1647428512573241, 1, 158.2371425628662, 100, 15.0, 10.0, 1.5, 1, 74
.01, 1.1647421836853027, 1, 158.23710918426514, 100, 15.0, 10.0, 1.5, 1, 80
.01, 1.164741849899292, 1, 158.2370924949646, 100, 15.0, 10.0, 1.5, 1, 96
.01, 1.1647416830062867, 1, 158.23708415031433, 100, 15.0, 10.0, 1.5, 2, 68
.01, 1.1647417664527895, 1, 158.23708832263947, 100, 15.0, 10.0, 1.5, 2, 72
.01, 1.1647418081760408, 1, 158.23709040880206, 100, 15.0, 10.0, 1.5, 2, 77
.01, 1.1647418290376663, 1, 158.23709145188332, 100, 15.0, 10.0, 1.5, 2, 84
.01, 1.1647418394684792, 1, 158.23709197342396, 100, 15.0, 10.0, 1.5, 3, 100
