epsilon, alpha, pop1, pop2, dif1, dif2, difratio, winner
.01, 1.3434319972991942, 167.17159986495972, 50, 3.0, 18.0, 0.16666666666666666, 2
.01, 1.3434328794479367, 167.17164397239682, 50, 3.0, 18.0, 0.16666666666666666, 1
.01, 1.3434324383735654, 167.17162191867826, 50, 3.0, 18.0, 0.16666666666666666, 2
.01, 1.343432658910751, 167.17163294553754, 50, 3.0, 18.0, 0.16666666666666666, 2
.01, 1.3434327691793437, 167.17163845896718, 50, 3.0, 18.0, 0.16666666666666666, 1
.01, 1.3434327140450475, 167.17163570225236, 50, 3.0, 18.0, 0.16666666666666666, 3
.01, 2.15, 207.5, 50, 4.0, 17.0, 0.23529411764705882, 1
.01, 1.2249999999999999, 161.24999999999997, 50, 4.0, 17.0, 0.23529411764705882, 2
.01, 1.6875, 184.375, 50, 4.0, 17.0, 0.23529411764705882, 1
.01, 1.4562499999999998, 172.8125, 50, 4.0, 17.0, 0.23529411764705882, 1
.01, 1.3406249999999997, 167.03124999999997, 50, 4.0, 17.0, 0.23529411764705882, 1
.01, 1.2828125, 164.140625, 50, 4.0, 17.0, 0.23529411764705882, 1
.01, 1.25390625, 162.6953125, 50, 4.0, 17.0, 0.23529411764705882, 2
.01, 1.268359375, 163.41796875, 50, 4.0, 17.0, 0.23529411764705882, 2
.01, 1.2755859374999998, 163.779296875, 50, 4.0, 17.0, 0.23529411764705882, 2
.01, 1.2791992187499999, 163.95996093749997, 50, 4.0, 17.0, 0.23529411764705882, 1
.01, 1.2773925781249997, 163.86962890624997, 50, 4.0, 17.0, 0.23529411764705882, 1
.01, 1.2764892578124998, 163.824462890625, 50, 4.0, 17.0, 0.23529411764705882, 1
.01, 1.27603759765625, 163.8018798828125, 50, 4.0, 17.0, 0.23529411764705882, 2
.01, 1.2762634277343747, 163.81317138671872, 50, 4.0, 17.0, 0.23529411764705882, 2
.01, 1.2763763427734371, 163.81881713867185, 50, 4.0, 17.0, 0.23529411764705882, 1
.01, 1.276319885253906, 163.81599426269528, 50, 4.0, 17.0, 0.23529411764705882, 1
.01, 1.2762916564941404, 163.81458282470703, 50, 4.0, 17.0, 0.23529411764705882, 1
.01, 1.2762775421142576, 163.8138771057129, 50, 4.0, 17.0, 0.23529411764705882, 1
.01, 1.276270484924316, 163.8135242462158, 50, 4.0, 17.0, 0.23529411764705882, 2
.01, 1.276274013519287, 163.81370067596436, 50, 4.0, 17.0, 0.23529411764705882, 2
.01, 1.2762757778167724, 163.81378889083862, 50, 4.0, 17.0, 0.23529411764705882, 2
.01, 1.2762766599655149, 163.81383299827573, 50, 4.0, 17.0, 0.23529411764705882, 2
.01, 1.2762771010398861, 163.8138550519943, 50, 4.0, 17.0, 0.23529411764705882, 1
.01, 1.2762768805027005, 163.813844025135, 50, 4.0, 17.0, 0.23529411764705882, 1
